sku,work_center
106022002,25000002
106022003,25000002
106022004,25000002
106022005,25000002
106022006,25000002
106022007,25000002
106022008,25000002
106022009,25000002
106022010,25000002
106022011,25000002
106022012,25000002
106022013,25000002
106022014,25000002
106022015,25000002
106022016,25000002
106022017,25000002
106022018,25000001
106022019,25000001
106022020,25000002
106022021,25000002
106022022,25000001
106022023,25000002
106022024,25000001
106022025,25000001
106022026,25000001
106022027,25000001
106022028,25000001
106022029,25000002
106022030,25000002
106022031,25000002
106022032,25000001
106022033,25000002
106022034,25000002
106022035,25000001
106022036,25000002
106022037,25000002
106022038,25000002
106022039,25000002
106022040,25000002
106022041,25000001
106022042,25000002
106022043,25000002
106022044,25000002
106022045,25000002
106022046,25000002
106022047,25000002
106022048,25000002
106022049,25000002
106022050,25000002
106022051,25000002
106022052,25000002
106022053,25000002
106022054,25000002
106022055,25000002
106022056,25000002
106022057,25000002
106022058,25000002
106022059,25000002
106022060,25000002
106022061,25000002
106022062,25000002
106022063,25000002
106022064,25000002
106022065,25000002
106022066,25000002
106022067,25000001
106022068,25000002
106022069,25000002
106022070,25000002
106022071,25000002
106022072,25000002
106022073,25000002
106022074,25000002
106022075,25000002
106022076,25000002
106022077,25000002
106022078,25000002
106022079,25000002
106022080,25000002
106022081,25000002
106022082,25000002
106022083,25000002
106022084,25000002
106022085,25000002
106022086,25000002
106022087,25000002
106022088,25000002
106022089,25000001
