,calendar_day,year,month,global_steel_utilization,fed_construction$B,state_local_construction$B,carbon_bar_ship_usa,carbon_bar_ship_canada,structural_ship_usa,structural_ship_canada,ism_manufacturing,ism_non_manufacturing,chicago_scrap$ST,block,IN_tons,PR_ton,SO_order_qty_sales_units,SH_shipment_tons
130,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"5"" ANG",13270.28994657999,0.0,496.0489999999998,472.0
131,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"12"" FLT",1103.2319989520001,0.0,131.30799999999996,96.0
132,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"8"" FLT",8673.815984245999,0.0,361.22900000000004,352.0
133,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"1"" FLT",28.582000018000006,0.0,0.0,14.0
134,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"5 X 3-1/2"" ANG",41158.70421546104,0.0,490.0300000000001,707.0
135,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"6 X 4"" ANG",34435.16599938797,0.0,1332.4360000000004,1190.0
136,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"2"" FLT",28.514999629000002,0.0,31.067500000000003,21.0
137,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"1-1/4"" FLT",0.0,0.0,0.0,0.0
138,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"8 X 4"" ANG",418.65600223799987,0.0,9.408,15.0
139,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"4-1/2"" FLT",53.042000169,0.0,0.0,0.0
140,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"6"" FLT",18928.494955219998,0.0,591.9529999999999,581.0
141,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"2 X 1"" CHN",25.331000330000002,0.0,2.3665,18.0
142,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"3/4"" SQR",2.447999954,0.0,0.0,4.0
143,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"3-1/2"" FLT",19.377999988,0.0,5.042,6.0
144,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"3-1/2"" ANG",39331.931166171,2842.0,493.46399999999994,926.0
145,2016-03-31,2016,3,0.707,1844.0,18555.0,221200.0,31400.0,203900.0,38400.0,51.8,54.5,195.0,"7"" CHN",5959.703998723,0.0,81.33999999999999,121.0
